AF,AFG,AFG,af,AF,AFG,AFG,AF,AFG,AFN,Kabul,AS
AL,ALB,ALB,aa,AB,AL,ALB,AL,ALB,ALL,Tirana,EU
DZ,DZA,ALG,ae,AL,DZ,ALG,AG,ALG,DZD,Algiers,AF
AS,ASM,SMA,as,,USA,ASA,AQ,ASA,USD,Pago Pago,OC
AD,AND,AND,an,,AND,AND,AN,AND,EUR,Andorra la Vella,EU
AO,AGO,AGL,ao,AN,,ANG,AO,ANG,AOA,Luanda,AF
AI,AIA,AIA,am,,,AIA,AV,AIA,XCD,The Valley,NA
AQ,ATA,,ay,AA,,ROS,AY,,,,AN
AG,ATG,ATG,aq,AT,,ATG,AC,ANT,XCD,St. John's,NA
AR,ARG,ARG,ag,AG,RA,ARG,AR,ARG,ARS,Buenos Aires,SA
AM,ARM,ARM,ai,AY,AM,ARM,AM,ARM,AMD,Yerevan,AS
AW,ABW,ABW,aw,NU,,ARU,AA,ARU,AWG,Oranjestad,NA
AU,AUS,AUS,at,AU,AUS,AUS,AS,AUS,AUD,Canberra,OC
AT,AUT,AUT,au,OS,A,AUT,AU,AUT,EUR,Vienna,EU
AZ,AZE,AZE,aj,AJ,AZ,AZE,AJ,AZE,AZN,Baku,AS
BS,BHS,BAH,bf,BA,BS,BAH,BF,BAH,BSD,Nassau,NA
BH,BHR,BHR,ba,BN,BRN,BHR,BA,BRN,BHD,Manama,AS
BD,BGD,BGD,bg,BW,BD,BAN,BG,BAN,BDT,Dhaka,AS
BB,BRB,BRB,bb,BR,BDS,BRB,BB,BAR,BBD,Bridgetown,NA
BY,BLR,BLR,bw,BY,BY,BLR,BO,BLR,BYR,Minsk,EU
BE,BEL,BEL,be,BX,B,BEL,BE,BEL,EUR,Brussels,EU
BZ,BLZ,BLZ,bh,BH,BZ,BLZ,BH,BIZ,BZD,Belmopan,NA
BJ,BEN,BEN,dm,BJ,DY,BEN,BN,BEN,XOF,Porto-Novo,AF
BM,BMU,BER,bm,BE,,BER,BD,BER,BMD,Hamilton,NA
BT,BTN,BTN,bt,,,BHU,BT,BHU,INR,Thimphu,AS
BO,BOL,BOL,bo,BO,BOL,BOL,BL,BOL,BOB,Sucre,SA
